Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Solar Water Heating Requirement for New Residential Construction,HI,Regulatory Policy,Building Energy Code,06/27/2008,05/24/2024
Farm and Aquaculture Alternative Energy Loan,HI,Financial Incentive,Loan Program,07/08/2008,06/30/2025
City and County of Honolulu - Real Property Tax Exemption for Renewable Energy Property,HI,Financial Incentive,Property Tax Incentive,09/23/2009,10/25/2024
Hawaii Energy,HI,Regulatory Policy,Public Benefits Fund,01/01/2009,07/30/2021
Hawaii C-PACE program,HI,Financial Incentive,PACE Financing,01/04/2010,08/13/2025
Energy Efficiency Portfolio Standard,HI,Regulatory Policy,Energy Efficiency Resource Standard,12/20/2010,10/25/2024
Fuel Mix Disclosure,HI,Regulatory Policy,Generation Disclosure,03/04/2011,08/10/2023
Commercial Energy Efficiency Rebate Program,HI,Financial Incentive,Rebate Program,12/14/2012,05/30/2025
Green Infrastructure Bonds,HI,Financial Incentive,Bond Program,08/01/2013,08/19/2024
Hawaii Appliance and Equipment Energy Efficiency Standards,HI,Regulatory Policy,Appliance/Equipment Efficiency Standards,07/08/2021,10/25/2024
Electric Vehicle Charging Station Rebate Program,HI,Financial Incentive,Rebate Program,08/20/2021,01/24/2025
Community Renewable Energy Program,HI,Regulatory Policy,Community Solar Rules,06/21/2022,05/22/2025
Hawaii - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,HI,Financial Incentive,Grant Program,06/11/2024,06/11/2024
Iowa Solar Easement and Access Laws,IA,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,05/26/2023
Renewable Energy Equipment Exemption,IA,Financial Incentive,Sales Tax Incentive,01/01/2000,03/17/2025
Local Option - Special Assessment of Wind Energy Devices,IA,Financial Incentive,Property Tax Incentive,01/01/2000,11/04/2025
Property Tax Exemption for Renewable Energy Systems,IA,Financial Incentive,Property Tax Incentive,01/01/2000,11/04/2025
Methane Gas Conversion Property Tax Exemption,IA,Financial Incentive,Property Tax Incentive,01/01/2000,11/04/2025
Mandatory Utility Green Power Option,IA,Regulatory Policy,Mandatory Utility Green Power Option,09/24/2001,08/27/2021
Alternative Energy Law (AEL),IA,Regulatory Policy,Renewables Portfolio Standard,01/01/2000,11/04/2025
Fuel Mix and Emissions Disclosure,IA,Regulatory Policy,Generation Disclosure,02/14/2005,08/09/2023
Net Metering,IA,Regulatory Policy,Net Metering,01/01/2000,02/28/2025
Interconnection Standards,IA,Regulatory Policy,Interconnection,06/18/2003,06/07/2024
Energy Replacement Generation Tax Exemption,IA,Financial Incentive,Corporate Tax Exemption,07/10/2003,03/27/2025
Alliant Energy Interstate Power and Light - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,06/05/2006,05/30/2024
Alliant Energy Interstate Power and Light - Farm Equipment Energy Efficiency Incentives,IA,Financial Incentive,Rebate Program,06/05/2006,09/24/2024
Cedar Falls Utilities - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,07/14/2006,09/23/2025
Energy Efficiency in State Facilities,IA,Regulatory Policy,Energy Standards for Public Buildings,07/14/2006,06/10/2024
Building Energy Code,IA,Regulatory Policy,Building Energy Code,07/28/2006,06/18/2023
Linn County Rural Electric Cooperative - Residential and Small Commercial (<75kw) rebates,IA,Financial Incentive,Rebate Program,03/19/2007,09/20/2024
Muscatine Power and Water - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,02/05/2008,09/23/2025
Muscatine Power and Water - Commercial and Industrial Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,02/05/2008,09/18/2024
Ames Electric Department - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,03/18/2008,10/06/2025
Waverly Light & Power - Residential Energy Efficiency Rebates,IA,Financial Incentive,Rebate Program,03/19/2008,01/14/2025
Indianola Municipal Utilities - Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,10/30/2008,12/06/2024
Ames Electric Department - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,01/30/2009,11/04/2025
Black Hills Energy (Gas) - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,02/24/2009,06/03/2024
Black Hills Energy (Gas) - Commercial Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,02/24/2009,01/14/2025
Cedar Falls Utilities - Residential New Construction Program,IA,Financial Incentive,Rebate Program,07/01/2009,05/30/2024
MidAmerican Energy - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,07/14/2009,09/19/2024
Cedar Falls Utilities - Commercial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,05/12/2010,11/19/2024
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,02/04/2010,09/20/2024
Farmers Electric Cooperative (Kalona) - Residential Energy Efficiency Grant Program,IA,Financial Incentive,Rebate Program,02/04/2010,09/20/2024
Energy Efficiency Standard,IA,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,06/30/2025
Liberty Utilities Iowa - High Efficiency Equipment Rebate,IA,Financial Incentive,Rebate Program,02/01/2010,05/30/2024
MidAmerican Energy - Residential Energy Efficiency Rebate Programs,IA,Financial Incentive,Rebate Program,07/14/2009,12/04/2024
Small Wind Innovation Zone Program and Model Ordinance,IA,Regulatory Policy,Solar/Wind Permitting Standards,06/07/2011,05/26/2023
Alliant Energy Interstate Power and Light - Commercial and Industrial Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,06/05/2006,09/23/2024
City of Dubuque - Solar Thermal Licensing Requirement,IA,Regulatory Policy,Solar/Wind Contractor Licensing,02/02/2012,12/19/2024
Residential Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,02/03/2012,05/30/2024
Business Energy Efficiency Rebate (Offered by 18 Utilities),IA,Financial Incentive,Rebate Program,02/03/2012,09/17/2024
IADG Energy Bank Revolving Loan Program,IA,Financial Incentive,Loan Program,04/26/2013,07/29/2025
Energy Infrastructure Revolving Loan Program,IA,Financial Incentive,Loan Program,10/19/2021,07/29/2025
Linn County Rural Electric Cooperative - Commercial (>75KW) Energy Efficiency Rebate Program,IA,Financial Incentive,Rebate Program,02/08/2023,09/20/2024
Iowa Energy Center Grant Program,IA,Financial Incentive,Grant Program,05/25/2023,05/25/2023
Diesel Emission Reduction Project Funding,IA,Financial Incentive,Grant Program,03/21/2024,03/21/2024
Iowa - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IA,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Idaho Solar Easements & Access Laws,ID,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,12/05/2023
Residential Alternative Energy Tax Deduction,ID,Financial Incentive,Personal Tax Deduction,01/01/2000,04/01/2025
Low-Interest Energy Loan Programs,ID,Financial Incentive,Loan Program,01/01/2000,07/29/2025
Idaho Power - Net Metering,ID,Regulatory Policy,Net Metering,01/01/2000,03/04/2025
Clean Energy Project Bond Program,ID,Financial Incentive,Bond Program,04/29/2005,08/29/2023
Rocky Mountain Power - Net Metering,ID,Regulatory Policy,Net Metering,07/24/2003,02/25/2025
Income Tax Deduction for Energy Efficiency Upgrades,ID,Financial Incentive,Personal Tax Deduction,07/28/2005,04/01/2025
Intermountain Gas Company (IGC) - Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,06/23/2006,10/23/2025
Building Energy Code,ID,Regulatory Policy,Building Energy Code,07/31/2006,06/18/2023
Idaho Falls Power - Commercial Energy Conservation Loan Program,ID,Financial Incentive,Loan Program,08/24/2006,02/12/2025
Idaho Falls Power - Residential Energy Efficiency Loan Program,ID,Financial Incentive,Loan Program,08/24/2006,02/12/2025
Avista Utilities - Net Metering,ID,Regulatory Policy,Net Metering,10/30/2006,02/24/2025
Rocky Mountain Power - wattsmart Business Program,ID,Financial Incentive,Rebate Program,03/06/2007,08/14/2024
Rocky Mountain Power - wattsmart Residential Efficiency Program,ID,Financial Incentive,Rebate Program,03/06/2007,03/24/2025
Kootenai Electric Cooperative - Residential Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,03/19/2007,10/14/2025
"Property Tax Exemption for Wind, Solar, and Geothermal Energy Producers",ID,Financial Incentive,Property Tax Incentive,03/30/2007,10/08/2025
Idaho Power - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,11/13/2008,05/23/2024
Idaho Falls Power - Commercial Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,06/18/2009,02/12/2025
Idaho Falls Power - Residential Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,03/24/2010,02/12/2025
Northern Lights Inc. - Energy Conservation Rebate Program,ID,Financial Incentive,Rebate Program,06/08/2010,10/23/2025
Avista Utilities (Electric) - Commercial Energy Efficiency Incentives Program,ID,Financial Incentive,Rebate Program,05/26/2010,07/01/2024
Avista Utilities (Electric) - Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,06/22/2006,05/10/2024
Dominion Energy - ThermWise Residential Energy Efficiency Rebate Programs,ID,Financial Incentive,Rebate Program,08/20/2007,05/22/2024
Dominion Energy - ThermWise Home Builder Rebate Program,ID,Financial Incentive,Rebate Program,08/20/2007,05/23/2024
Dominion Energy - ThermWise Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,08/20/2007,05/22/2024
Kootenai Electric Cooperative - Commercial Energy Efficiency Rebate Program,ID,Financial Incentive,Rebate Program,04/18/2019,10/28/2025
Electric Vehicle Supply Equipment (EVSE) Program,ID,Financial Incentive,Grant Program,05/27/2021,08/23/2023
Vehicle Replacement Program,ID,Financial Incentive,Rebate Program,05/27/2021,05/28/2025
Idaho Commercial PACE Financing Program,ID,Financial Incentive,PACE Financing,06/17/2024,06/17/2024
Idaho - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,ID,Financial Incentive,Grant Program,06/18/2024,06/25/2024
Special Assessment for Solar Energy Systems,IL,Financial Incentive,Property Tax Incentive,01/01/2000,03/17/2025
City of Chicago - Green Power Purchasing,IL,Regulatory Policy,Green Power Purchasing,02/02/2001,12/12/2024
Renewable Energy Resources Trust Fund,IL,Regulatory Policy,Public Benefits Fund,01/01/2000,07/27/2021
Fuel Mix and Emissions Disclosure,IL,Regulatory Policy,Generation Disclosure,01/01/2000,08/10/2023
Renewable Portfolio Standard,IL,Regulatory Policy,Renewables Portfolio Standard,06/12/2001,07/24/2025
City Water Light and Power - Residential Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,07/13/2006,08/06/2025
City Water Light and Power - Commercial Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,07/13/2006,08/06/2025
Building Energy Code,IL,Regulatory Policy,Building Energy Code,07/27/2006,06/18/2023
Energy Efficiency Trust Fund,IL,Regulatory Policy,Public Benefits Fund,09/25/2006,12/12/2024
City of Chicago - Building Energy Code,IL,Regulatory Policy,Building Energy Code,03/26/2007,06/18/2023
City of Chicago - Green Building Permit Programs,IL,Financial Incentive,Green Building Incentive,03/27/2007,07/09/2024
Net Metering,IL,Regulatory Policy,Net Metering,08/28/2007,02/28/2025
Property Valuation for Commercial Wind Energy Equipment,IL,Financial Incentive,Property Tax Incentive,10/26/2007,10/15/2024
Energy Efficiency and Demand Response Fund,IL,Regulatory Policy,Public Benefits Fund,02/08/2008,07/26/2021
ComEd -Energy Efficiency Program For Businesses,IL,Financial Incentive,Rebate Program,09/19/2008,08/04/2025
Energy Efficiency in State Government,IL,Regulatory Policy,Energy Standards for Public Buildings,06/01/2008,07/01/2024
ComEd - Energy Efficiency Program for Residential,IL,Financial Incentive,Rebate Program,12/08/2008,10/01/2025
Ameren Illinois (Electric) - Residential Energy Efficiency Incentives,IL,Financial Incentive,Rebate Program,12/10/2008,08/07/2025
City of Chicago - Small Business Improvement Fund,IL,Financial Incentive,Grant Program,05/19/2009,07/15/2022
"Sales Tax Exemption for Wind, Solar, and Storage - High Impact Business",IL,Financial Incentive,Sales Tax Incentive,07/16/2009,09/12/2025
Renewable Energy and Energy Efficiency Project Financing,IL,Financial Incentive,Bond Program,07/31/2009,08/28/2020
Illinois PACE Financing Program,IL,Financial Incentive,PACE Financing,08/20/2009,01/15/2024
Statewide Renewable Energy Permitting Standards,IL,Regulatory Policy,Solar/Wind Permitting Standards,09/21/2009,11/04/2024
ComEd - Energy Efficiency Program for Commercial New Construction,IL,Financial Incentive,Rebate Program,06/01/2009,07/25/2024
Ameren Illinois - Instant Incentives Program,IL,Financial Incentive,Rebate Program,12/09/2009,08/06/2025
Illinois Municipal Electric Agency - Electric Efficiency Program,IL,Financial Incentive,Rebate Program,01/05/2010,08/04/2025
Nicor Gas - Commercial Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,05/06/2010,08/04/2025
Corn Belt Energy Coop - Residential Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,06/29/2010,08/04/2025
Illinois Solar and Wind Rights,IL,Regulatory Policy,Solar/Wind Access Policy,08/18/2010,09/22/2023
Retro-Commissioning (RCx) Program,IL,Financial Incentive,Grant Program,09/22/2008,09/30/2022
Energy Efficiency Resource Standards,IL,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,06/30/2025
Ameren Illinois - Energy-Efficiency Program,IL,Financial Incentive,Rebate Program,12/09/2009,08/06/2025
MidAmerican Energy - Illinois Business Programs and Rebates,IL,Financial Incentive,Rebate Program,02/09/2009,08/25/2025
Cook County - LEED Requirement for County Buildings,IL,Regulatory Policy,Energy Standards for Public Buildings,06/24/2011,06/06/2024
"ComEd, Nicor Gas, Peoples Gas & North Shore Gas - Small Business Energy Savings Program",IL,Financial Incentive,Rebate Program,09/19/2008,08/04/2025
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IL,Financial Incentive,Rebate Program,02/24/2011,05/06/2024
Corn Belt Energy Coop - Commercial Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,02/24/2011,08/04/2025
Wabash Valley Power Association (23 Member Cooperatives) - Residential Energy Efficiency Program,IL,Financial Incentive,Rebate Program,02/22/2012,08/01/2025
Peoples Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,01/28/2009,05/06/2024
North Shore Gas - Residential Rebate Program,IL,Financial Incentive,Rebate Program,06/08/2010,08/04/2025
ComEd - Business Instant Lighting Discounts Program,IL,Financial Incentive,Rebate Program,10/09/2012,08/05/2025
City of Chicago - Solar Zoning Policy,IL,Regulatory Policy,Solar/Wind Access Policy,09/27/2016,09/22/2023
Driving a Cleaner Illinois Program,IL,Financial Incentive,Grant Program,05/28/2021,03/21/2024
Improvement Valuation of Commercial Solar Energy Systems,IL,Financial Incentive,Property Tax Assessment,06/09/2022,03/17/2025
Community Renewable Generation Project Rules,IL,Regulatory Policy,Community Solar Rules,06/09/2022,02/28/2025
Adjustable Block Program (Illinois Shines),IL,Financial Incentive,Solar Renewable Energy Credit Program,06/09/2022,08/14/2024
Illinois Solar for All Program,IL,Financial Incentive,Solar Renewable Energy Credit Program,06/09/2022,08/14/2024
MidAmerican Energy Residential Energy Efficiency Rebates,IL,Financial Incentive,Rebate Program,10/24/2023,09/10/2025
Ameren Illinois Distributed Generation Rebate Program,IL,Financial Incentive,Rebate Program,11/02/2023,09/28/2025
Electric Vehicle Rebate Program,IL,Financial Incentive,Rebate Program,11/02/2023,05/22/2025
Charging Infrastructure Grant Program,IL,Financial Incentive,Grant Program,11/03/2023,03/21/2024
Illinois - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IL,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Renewable Energy Resources Trust Fund,IL,Regulatory Policy,Public Benefits Fund,01/01/2000,07/27/2021
Fuel Mix and Emissions Disclosure,IL,Regulatory Policy,Generation Disclosure,01/01/2000,08/10/2023
Renewable Portfolio Standard,IL,Regulatory Policy,Renewables Portfolio Standard,06/12/2001,07/24/2025
City Water Light and Power - Commercial Energy Efficiency Rebate Programs,IL,Financial Incentive,Rebate Program,07/13/2006,08/06/2025
City of Chicago - Building Energy Code,IL,Regulatory Policy,Building Energy Code,03/26/2007,06/18/2023
City of Chicago - Green Building Permit Programs,IL,Financial Incentive,Green Building Incentive,03/27/2007,07/09/2024
Property Valuation for Commercial Wind Energy Equipment,IL,Financial Incentive,Property Tax Incentive,10/26/2007,10/15/2024
ComEd -Energy Efficiency Program For Businesses,IL,Financial Incentive,Rebate Program,09/19/2008,08/04/2025
Energy Efficiency in State Government,IL,Regulatory Policy,Energy Standards for Public Buildings,06/01/2008,07/01/2024
City of Chicago - Small Business Improvement Fund,IL,Financial Incentive,Grant Program,05/19/2009,07/15/2022
"Sales Tax Exemption for Wind, Solar, and Storage - High Impact Business",IL,Financial Incentive,Sales Tax Incentive,07/16/2009,09/12/2025
Corn Belt Energy Coop - Residential Energy Efficiency Rebate Program,IL,Financial Incentive,Rebate Program,06/29/2010,08/04/2025
ComEd - Business Instant Lighting Discounts Program,IL,Financial Incentive,Rebate Program,10/09/2012,08/05/2025
Driving a Cleaner Illinois Program,IL,Financial Incentive,Grant Program,05/28/2021,03/21/2024
Charging Infrastructure Grant Program,IL,Financial Incentive,Grant Program,11/03/2023,03/21/2024
Illinois - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IL,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Renewable Energy Property Tax Exemption,IN,Financial Incentive,Property Tax Incentive,01/01/2000,09/26/2025
Indiana Solar Easements & Rights Laws,IN,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,09/22/2023
Net Metering,IN,Regulatory Policy,Net Metering,02/17/2005,02/28/2025
Interconnection Standards,IN,Regulatory Policy,Interconnection,02/10/2004,05/30/2024
Building Energy Code,IN,Regulatory Policy,Building Energy Code,07/27/2006,06/18/2023
South Central Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,09/01/2006,09/24/2024
Duke Energy - Residential and Builder Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,09/26/2006,05/15/2024
Duke Energy - Commercial Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,09/26/2006,10/03/2025
Bartholomew County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/09/2007,08/19/2024
RushShelby Energy - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,09/05/2025
Clark County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,07/24/2024
Southern Indiana Power - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,09/27/2024
Utilities District of Western Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,09/30/2024
WIN Energy REMC - Residential Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,08/27/2024
Dubois REC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,11/17/2025
Carroll County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,07/22/2024
NineStar Connect - Residential Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,07/10/2025
Harrison County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,08/27/2024
Jackson County REMC - Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,07/24/2024
Orange County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,08/13/2007,08/28/2024
Jay County REMC - Water Heater Rebate Program,IN,Financial Incentive,Rebate Program,08/20/2007,07/10/2025
Marshall County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/20/2007,11/20/2025
Northeastern REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/20/2007,08/28/2024
Heartland REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/21/2007,09/27/2024
Tipmont REMC - Energy Efficiency Equipment Rebate Program,IN,Financial Incentive,Rebate Program,08/21/2007,07/10/2025
Carroll White REMC - Residential Heat Pump Rebate Program,IN,Financial Incentive,Rebate Program,08/21/2007,07/24/2024
Energy Efficient State Building Initiative,IN,Regulatory Policy,Energy Standards for Public Buildings,08/26/2008,06/20/2024
CenterPoint Energy - Residential Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,09/08/2008,09/24/2024
CenterPoint Energy (Gas) - Commercial Energy Efficiency Rebates,IN,Financial Incentive,Rebate Program,09/09/2008,08/21/2024
Citizens Gas - Residential Efficiency Rebates,IN,Financial Incentive,Rebate Program,11/20/2008,09/27/2024
Citizens Gas - Commercial Efficiency Rebates,IN,Financial Incentive,Rebate Program,11/20/2008,09/27/2024
NIPSCO (Gas & Electric) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,11/25/2008,05/16/2024
City of Bloomington - Green Building Requirements for Municipal Buildings,IN,Regulatory Policy,Energy Standards for Public Buildings,07/14/2009,06/21/2024
Southeastern Indiana REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,08/05/2009,05/15/2024
Parke County REMC - Energy Efficient Equipment Rebate Program,IN,Financial Incentive,Rebate Program,02/10/2010,08/28/2024
AES Indiana - Business Energy Incentives Program,IN,Financial Incentive,Rebate Program,09/30/2010,10/27/2025
Electric Efficiency Standard,IN,Regulatory Policy,Energy Efficiency Resource Standard,12/15/2010,06/30/2025
Indiana Michigan Power - Energy Savings Rebate Program,IN,Financial Incentive,Rebate Program,02/08/2011,07/14/2025
Indiana Michigan Power - Commercial and Industrial Rebate Program,IN,Financial Incentive,Rebate Program,02/08/2011,08/21/2024
Wabash Valley Power Association (23 Member Cooperatives) - Commercial and Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,02/24/2011,07/22/2024
Clean Energy Portfolio Standard,IN,Regulatory Policy,Renewables Portfolio Standard,05/19/2011,11/18/2024
Indianapolis Power & Light - Residential Energy Incentives Program,IN,Financial Incentive,Rebate Program,09/30/2010,05/14/2024
CenterPoint Energy (Electric) - Commercial New Construction Rebates,IN,Financial Incentive,Rebate Program,09/09/2008,08/21/2024
City of Bloomington - Sustainable Development Incentives,IN,Financial Incentive,Green Building Incentive,10/11/2011,10/06/2022
Sales and Use Tax Exemption for Electrical Generating Equipment,IN,Financial Incentive,Sales Tax Incentive,02/08/2012,12/12/2024
Wabash Valley Power Association (28 Member Cooperatives) - Residential Energy Efficiency Program,IN,Financial Incentive,Rebate Program,02/22/2012,11/17/2025
Community Conservation Challenge,IN,Financial Incentive,Grant Program,10/10/2012,12/15/2020
Johnson County REMC - Residential Energy Efficiency Rebate Program,IN,Financial Incentive,Rebate Program,03/06/2013,07/24/2024
NIPSCO - Feed-In Tariff,IN,Financial Incentive,Feed-in Tariff,02/05/2015,09/17/2025
NIPSCO (Gas & Electric) Small Business Direct Install Program,IN,Financial Incentive,Grant Program,04/02/2015,07/25/2024
NIPSCO (Gas & Electric) - Commercial & Industrial Energy Efficiency Program,IN,Financial Incentive,Rebate Program,04/02/2015,08/22/2024
Noble REMC - Residential Energy Efficiency Rebate Incentives,IN,Financial Incentive,Rebate Program,04/09/2015,07/24/2024
CenterPoint Energy - Residential New Construction Rebates,IN,Financial Incentive,Rebate Program,08/28/2020,09/25/2024
Indiana Volkswagen Mitigation Trust Program,IN,Financial Incentive,Grant Program,06/03/2021,12/31/2021
Indiana Michigan Power - Residential Electric Vehicle Charging Rebate,IN,Financial Incentive,Rebate Program,07/17/2021,09/04/2025
Indiana Michigan Power - Charge Point Program,IN,Financial Incentive,Rebate Program,07/17/2021,06/16/2025
AES Indiana - EV Managed Charging Program,IN,Financial Incentive,Rebate Program,10/05/2023,09/17/2025
Duke Energy Indiana Off-Peak Charging Credit,IN,Financial Incentive,Performance-Based Incentive,10/05/2023,09/16/2025
Volkswagen Environmental Mitigation Trust Program,IN,Financial Incentive,Grant Program,03/21/2024,03/21/2024
Duke Energy Indiana - Electric School Bus Charging,IN,Financial Incentive,Grant Program,03/21/2024,03/21/2024
Indiana - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,IN,Financial Incentive,Grant Program,06/13/2024,06/13/2024
Kansas Solar Easement Laws,KS,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,11/05/2023
Renewable Energy Property Tax Exemption,KS,Financial Incentive,Property Tax Incentive,01/01/2000,09/26/2025
Building Energy Code,KS,Regulatory Policy,Building Energy Code,06/30/2006,06/18/2023
City of Greensburg - Green Building Requirement for New Municipal Buildings,KS,Regulatory Policy,Energy Standards for Public Buildings,01/31/2008,06/21/2024
Midwest Energy (Gas and Electric) - How$mart Energy Efficiency Finance Program,KS,Financial Incentive,Loan Program,12/19/2008,07/03/2025
Kansas City Board of Public Utilities - Commercial Energy Efficiency Rebate Program,KS,Financial Incentive,Rebate Program,03/11/2009,07/03/2025
Renewable Energy Goal,KS,Regulatory Policy,Renewables Portfolio Standard,05/27/2009,11/20/2025
Net Metering,KS,Regulatory Policy,Net Metering,05/29/2009,02/28/2025
Interconnection Guidelines,KS,Regulatory Policy,Interconnection,06/08/2009,05/29/2024
City of Wichita - Solar Contractor Licensing,KS,Regulatory Policy,Solar/Wind Contractor Licensing,11/03/2014,12/19/2024
Energy Efficiency Standards for Public Facilities,KS,Regulatory Policy,Energy Standards for Public Buildings,11/06/2014,07/08/2024
Wichita City - Solar Permitting,KS,Regulatory Policy,Solar/Wind Permitting Standards,11/15/2016,08/16/2023
Kentucky Solar Easements Laws,KY,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,09/22/2023
Net Billing,KY,Regulatory Policy,Net Metering,05/04/2004,04/03/2025
Duke Energy - Residential Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,05/31/2006,09/05/2025
Duke Energy - Non-Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,05/31/2006,08/30/2024
Building Energy Code,KY,Regulatory Policy,Building Energy Code,07/27/2006,06/18/2023
Blue Grass Energy - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,09/08/2006,05/13/2024
Together We Save - Kentucky's Touchstone Energy Cooperatives (16 Cooperatives),KY,Financial Incentive,Rebate Program,09/25/2006,10/29/2025
Owen Electric - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,09/26/2006,05/10/2024
Salt River Electric - Residential Energy Efficiency Rebate Programs,KY,Financial Incentive,Rebate Program,09/27/2006,10/28/2025
South Kentucky RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,09/27/2006,05/06/2024
Tax Exemption for Large-Scale Renewable Energy Projects,KY,Financial Incentive,Sales Tax Incentive,10/08/2007,09/26/2025
Sales Tax Exemption for Manufacturing Facilities,KY,Financial Incentive,Sales Tax Incentive,10/10/2007,12/12/2024
Energy Efficiency Program for State Government Buildings,KY,Regulatory Policy,Energy Standards for Public Buildings,05/13/2008,06/10/2024
Interconnection Standards,KY,Regulatory Policy,Interconnection,01/14/2009,05/30/2024
Taylor County RECC - Residential Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,02/11/2009,01/14/2025
Farmers RECC - Heat Pump Retrofit Rebate Program,KY,Financial Incentive,Rebate Program,02/11/2009,01/13/2025
Kentucky Power - Targeted Energy Efficiency Program,KY,Financial Incentive,Rebate Program,09/23/2009,01/13/2025
Kentucky Utilities Company and Louisville Gas & Electric- Commercial Energy Efficiency Rebate Program,KY,Financial Incentive,Rebate Program,02/02/2010,09/12/2024
Energy Efficiency Loans for State Government Agencies,KY,Financial Incentive,Loan Program,02/16/2010,07/29/2025
On-Farm Energy Efficiency Grant Program,KY,Financial Incentive,Grant Program,01/15/2010,04/02/2021
